system,year,doctype,n_tokens,op_total,rel_total,op_rate_per_10k,rel_rate_per_10k,ratio_op_to_rel
ucsf,2024,press_release,786,1,2,12.72264631043257,25.44529262086514,0.5
ucsf,2024,press_release,451,0,2,0.0,44.34589800443459,0.0
ucsf,2024,press_release,1022,0,11,0.0,107.63209393346379,0.0
ucsf,2024,press_release,1322,0,14,0.0,105.9001512859304,0.0
ucsf,2024,press_release,728,1,0,13.736263736263735,0.0,
ucsf,2024,press_release,435,0,3,0.0,68.96551724137932,0.0
ucsf,2024,press_release,1182,1,7,8.460236886632826,59.22165820642978,0.14285714285714285
ucsf,2024,press_release,783,0,0,0.0,0.0,
ucsf,2024,press_release,588,1,2,17.006802721088434,34.01360544217687,0.5
ucsf,2024,press_release,812,0,0,0.0,0.0,
ucsf,2024,press_release,848,2,4,23.58490566037736,47.16981132075472,0.5
ucsf,2024,press_release,833,2,19,24.009603841536613,228.09123649459784,0.10526315789473684
ucsf,2024,press_release,451,0,3,0.0,66.51884700665188,0.0
ucsf,2024,press_release,669,1,0,14.947683109118087,0.0,
ucsf,2024,press_release,2103,0,7,0.0,33.28578221588207,0.0
ucsf,2024,press_release,720,1,0,13.88888888888889,0.0,
ucsf,2024,press_release,507,0,0,0.0,0.0,
ucsf,2024,press_release,643,0,10,0.0,155.52099533437013,0.0
ucsf,2024,press_release,744,0,0,0.0,0.0,
